CATAID,logit_class(1-uvup;2-uvweak),redshift
92175,0,0.1215
536722,0,0.11466
535683,1,0.27739
237819,0,0.10542
238412,0,0.0553
601013,0,0.05289
91963,0,0.04998
570207,0,0.04318
419290,0,0.1428
601102,0,0.05274
15377,0,0.16976
15756,1,0.12385
184589,1,0.24304
487113,0,0.09962
559977,0,0.13387
372123,0,0.07123
496997,0,0.07686
48560,0,0.13136
610545,0,0.07747
526363,0,0.10145
77705,0,0.05264
288751,1,0.16166
536402,1,0.18165
288877,1,0.07814
289089,0,0.01638
289664,0,0.2525
567972,0,0.18516
567803,0,0.08333
85019,0,0.07861
215289,0,0.0576
550044,0,0.21398
23748,0,0.1251
611581,0,0.17071
319299,0,0.08214
319067,0,0.05331
371882,0,0.05148
545490,0,0.21661
48010,0,0.05493
535486,1,0.11942
84661,1,0.20258
71468,0,0.18636
584820,0,0.16299
196328,0,0.1695
84675,0,0.1306
92782,0,0.08637
85674,0,0.25871
386137,0,0.11055
98358,1,0.14022
91697,0,0.05375
460452,0,0.11441
376906,0,0.11671
375649,0,0.14931
324351,1,0.05727
618133,0,0.05342
278300,0,0.1928
505765,0,0.08039
228708,0,0.09397
24303,0,0.11314
62932,0,0.18417
64123,0,0.21966
526246,1,0.13687
527482,0,0.03939
15410,0,0.27849
239557,1,0.10884
278618,0,0.17735
272043,0,0.07795
143845,1,0.25968
297954,1,0.15983
296677,0,0.02548
7687,1,0.20825
372452,0,0.05264
376585,0,0.05287
78120,0,0.27512
220112,0,0.01968
239090,0,0.08409
70844,0,0.11544
70973,1,0.09937
463146,1,0.05906
396874,0,0.07687
40516,0,0.13088
204048,0,0.19859
216219,0,0.09405
220218,0,0.04772
388513,0,0.08404
377410,0,0.05581
77227,1,0.05439
549097,0,0.16849
320507,1,0.13689
319806,0,0.11076
319869,0,0.11698
460457,0,0.13877
463197,0,0.1164
39855,0,0.13241
567474,0,0.17396
143221,0,0.14466
77350,0,0.12736
15899,0,0.10264
560283,0,0.17824
71119,0,0.08238
83945,1,0.13574
91691,0,0.05477
278443,0,0.13291
202786,0,0.21136
319293,0,0.05421
301761,0,0.07139
319651,0,0.08412
371788,0,0.07081
323198,1,0.19552
418188,0,0.1295
272964,0,0.07808
584156,0,0.22662
221017,0,0.07494
611000,0,0.07774
599834,0,0.05209
54376,0,0.1627
70970,0,0.09986
185786,0,0.2311
492486,0,0.05541
40977,0,0.09408
7489,0,0.12823
178552,0,0.15259
318841,0,0.12824
15916,0,0.1262
8299,1,0.08857
599272,0,0.2626
99039,0,0.14738
106181,0,0.12695
216184,0,0.01878
320687,0,0.13903
547814,0,0.15701
376703,0,0.052
387125,1,0.21413
204953,0,0.32833
518563,0,0.19325
514218,0,0.08484
534644,0,0.04732
543770,0,0.08715
299056,0,0.14129
22883,0,0.06413
574235,0,0.26608
544580,0,0.14915
610012,0,0.16094
609548,1,0.09378
16429,0,0.03053
54456,0,0.16329
600420,0,0.05228
600929,0,0.05347
219763,0,0.19935
16317,0,0.03411
549975,0,0.17342
184654,1,0.12319
196164,1,0.16858
40702,0,0.2019
485928,0,0.22063
491578,0,0.11238
301283,0,0.27053
289435,0,0.18732
299010,0,0.1959
536490,0,0.21112
79688,0,0.04267
545020,1,0.09463
507903,0,0.1395
584024,1,0.32772
273843,0,0.07922
569300,0,0.10678
559533,0,0.13424
289203,0,0.07698
288370,1,0.19633
622352,0,0.08625
297373,0,0.27908
106413,0,0.216
215987,0,0.14916
593193,1,0.131
273374,0,0.12577
601164,1,0.16375
31009,0,0.13466
493625,0,0.14299
559917,0,0.12814
485727,1,0.05357
78148,0,0.13955
177976,0,0.10196
325421,0,0.28484
534655,0,0.0464
48264,1,0.10365
93296,1,0.15103
23779,0,0.38014
32613,0,0.2598
460343,0,0.06957
593782,0,0.2201
99894,0,0.18604
618860,0,0.12952
560288,0,0.0814
611563,1,0.24112
205155,0,0.05538
145247,0,0.07551
535591,1,0.13538
22900,0,0.13252
138569,0,0.0768
599441,0,0.13728
618937,0,0.05548
381242,0,0.32166
64743,0,0.14903
457615,0,0.04782
203386,0,0.23867
49252,0,0.14752
179410,1,0.19869
227617,1,0.05426
251178,0,0.22437
610129,0,0.06513
106767,0,0.11375
592909,0,0.07729
610258,0,0.27059
7288,1,0.17892
14776,0,0.12426
93262,0,0.14833
271538,0,0.07636
372795,0,0.0951
289380,0,0.11015
214936,1,0.19395
215981,0,0.12262
40401,0,0.14624
53935,0,0.10639
550227,0,0.07113
396579,0,0.19251
527908,1,0.26077
36940,0,0.18236
321388,0,0.25097
91988,0,0.05212
508180,1,0.05555
526414,1,0.1038
599647,1,0.29877
56376,0,0.12582
32237,0,0.17762
30789,0,0.11362
300595,0,0.11083
568226,1,0.12994
48971,0,0.21507
49309,0,0.14172
47941,0,0.08361
600062,0,0.12467
517944,0,0.19761
239748,0,0.11272
230837,0,0.0195
99934,0,0.08517
7663,0,0.15088
16027,1,0.13767
544330,0,0.08482
549096,1,0.12941
64374,0,0.2187
418740,0,0.0981
549076,1,0.18785
30274,0,0.2036
215039,0,0.0671
239877,0,0.22828
376705,0,0.05208
396871,0,0.07685
8983,0,0.20035
184488,0,0.11728
39419,0,0.12094
568406,0,0.16839
559859,0,0.05143
378130,0,0.14447
144640,0,0.08226
77521,0,0.13521
77650,1,0.12772
382424,0,0.10011
320940,0,0.08394
508137,0,0.09275
486463,0,0.13162
273654,0,0.07445
609289,1,0.10635
55771,0,0.0821
535764,0,0.07699
346894,0,0.0573
324847,0,0.09771
592425,0,0.09572
418693,0,0.05126
386829,1,0.12466
535638,0,0.10686
208755,0,0.27085
617524,1,0.13366
544304,0,0.08403
300936,0,0.2643
460321,0,0.10293
238992,0,0.10938
584728,0,0.1658
492093,1,0.10246
99820,0,0.10924
91580,0,0.1838
517682,0,0.07686
377167,0,0.27995
298139,0,0.0937
289563,1,0.18732
623610,1,0.20665
323805,0,0.0961
64304,0,0.10452
70275,0,0.12782
70278,0,0.16679
220333,0,0.08135
228013,0,0.11731
230289,0,0.07957
574257,0,0.19301
396944,0,0.10126
560194,1,0.12583
23315,0,0.11178
318823,0,0.129
273542,0,0.07536
617559,0,0.11344
387715,0,0.03884
512169,0,0.05462
271481,0,0.11208
65214,0,0.0753
346888,1,0.05679
544430,0,0.10028
84533,0,0.22878
220502,0,0.02008
227607,1,0.05353
485047,0,0.04771
220840,0,0.18852
31719,0,0.17755
39670,0,0.13578
202366,0,0.21363
594187,1,0.13905
79810,0,0.04316
549219,0,0.15595
64129,0,0.21841
561983,0,0.12234
460616,1,0.12011
534971,0,0.0793
574512,0,0.10163
290323,0,0.0851
485127,1,0.08029
525737,1,0.16786
196194,0,0.05086
301076,0,0.25385
594845,0,0.08569
301505,0,0.10922
301906,1,0.22068
320415,0,0.13855
214829,0,0.1102
348010,1,0.09206
202409,1,0.15945
618131,0,0.05312
145646,0,0.18671
220814,1,0.22109
544054,0,0.13939
320754,0,0.13736
347964,0,0.05661
584301,0,0.10766
378069,0,0.19323
386922,0,0.16024
83995,0,0.31071
318729,0,0.16645
485880,0,0.12151
273838,0,0.07667
251792,0,0.07272
505313,0,0.05483
16567,0,0.07819
186405,0,0.07455
202678,1,0.20193
228580,0,0.23837
31861,0,0.18175
320114,0,0.11944
23265,0,0.07795
77614,0,0.11636
522076,0,0.06009
238650,1,0.19038
493838,0,0.04316
508093,0,0.128
568084,0,0.12773
561231,0,0.20066
47152,0,0.08258
63955,0,0.13126
289301,0,0.19494
297325,0,0.18916
321452,0,0.09727
220511,0,0.07769
62589,1,0.12847
184361,1,0.17056
202360,0,0.03576
380963,0,0.165
70166,0,0.10914
548831,0,0.10848
288082,0,0.15571
561274,0,0.08199
210146,0,0.09376
31775,0,0.08236
348219,1,0.0853
324856,0,0.181
238922,0,0.02613
15390,0,0.14463
100125,0,0.11327
239217,1,0.14373
210956,0,0.14201
78350,0,0.05433
70670,0,0.08193
204058,1,0.09659
486404,1,0.13267
548954,0,0.08056
551505,0,0.05626
186013,0,0.10048
185892,1,0.20134
99209,1,0.15939
70882,0,0.12653
83903,0,0.10716
372450,0,0.16224
373237,0,0.01749
205183,0,0.05562
209866,0,0.25557
288105,0,0.16453
271617,0,0.07641
567543,0,0.05233
567580,0,0.239
288803,0,0.04852
507709,0,0.12635
32405,1,0.12221
534660,0,0.13116
15113,0,0.17399
346213,0,0.07257
325320,0,0.08703
375994,0,0.13374
79836,0,0.04478
491442,0,0.12899
197864,0,0.13405
272997,0,0.07733
380697,0,0.0733
91962,1,0.07718
535424,0,0.08066
599738,0,0.18956
575412,0,0.05487
378104,0,0.0851
287655,0,0.13482
619311,1,0.07848
623568,1,0.20731
622861,0,0.19923
78617,0,0.13601
425646,0,0.18913
238212,0,0.05452
31449,0,0.13134
549412,0,0.15793
30470,0,0.07782
584795,0,0.16837
544755,0,0.05358
545259,0,0.14958
373057,0,0.16528
320110,1,0.21622
92580,0,0.13075
527361,0,0.08841
219839,1,0.13379
54641,0,0.25491
586641,0,0.11575
144164,0,0.17069
559943,1,0.24824
560287,0,0.08148
144565,1,0.09932
324244,0,0.11469
545820,0,0.21932
16684,0,0.14772
39418,0,0.11784
371841,0,0.15683
593852,0,0.13083
23319,0,0.07783
273266,0,0.18635
320339,0,0.10937
62361,0,0.08299
610478,0,0.10504
319337,0,0.05223
301507,0,0.10542
386969,0,0.20042
22638,0,0.07788
320889,1,0.08375
323886,1,0.07173
534763,0,0.02827
91787,0,0.14269
297305,0,0.18947
16484,0,0.17732
23634,1,0.28598
507807,0,0.19236
14975,0,0.11381
319606,0,0.07874
91587,0,0.10496
536031,0,0.06036
289562,0,0.18653
574044,1,0.14874
593804,0,0.21967
320337,0,0.10956
534760,0,0.05253
32202,0,0.07562
106648,1,0.20205
300611,0,0.11157
227241,0,0.17467
54555,1,0.10818
622537,0,0.16592
23082,0,0.07853
618942,0,0.05577
346889,0,0.10568
600067,1,0.21817
611660,0,0.14868
30888,1,0.12196
21994,0,0.07297
31824,1,0.1832
567766,0,0.1356
106562,1,0.12678
64279,0,0.22055
70339,0,0.25311
65447,0,0.13823
512479,0,0.10509
536715,0,0.19157
98067,1,0.09294
99172,0,0.11319
544260,1,0.04827
551619,0,0.05628
251074,0,0.08601
690357,0,0.16873
543605,0,0.05577
381539,1,0.08779
319841,0,0.11554
278493,0,0.09575
575512,0,0.34804
21951,1,0.09946
228111,0,0.03948
492266,1,0.15598
388423,0,0.08554
388552,0,0.08583
7568,0,0.15753
220071,0,0.17124
228515,0,0.13161
221279,0,0.13261
209806,1,0.26226
209683,1,0.1567
7969,0,0.08555
381221,0,0.0504
382538,0,0.05589
143924,1,0.12655
594946,0,0.04385
537136,0,0.11984
49251,0,0.14897
30522,0,0.10797
287596,0,0.07455
39175,0,0.10647
287851,0,0.2238
273192,0,0.1864
40340,0,0.16952
372176,0,0.07034
143600,0,0.14399
346255,0,0.10754
6884,0,0.10511
93393,1,0.10922
289113,0,0.02384
239561,0,0.11271
383113,0,0.14282
22524,1,0.26556
143894,0,0.13503
32019,0,0.06315
536237,1,0.08254
47851,1,0.12375
493834,0,0.03456
106869,0,0.12307
549296,0,0.05217
271492,0,0.13315
41402,1,0.20922
40830,0,0.03498
69629,0,0.10744
77881,0,0.12327
372130,0,0.07189
372193,0,0.07275
593535,0,0.16322
84734,0,0.07641
106766,0,0.17028
221064,1,0.24204
