CATAID,BPT_CLASS,LOGIT_CLASS(1-UVUP;0-UVWEAK),STELLAR_MASS,UV_CLASS,WHAN(0-NA;1-RP;2-wA;3-sA;4-SF),WHAN_CLASS,Z
131878,NA,0,9.95045,UV_WEAK,1,Retired/Passive,0.07795
132295,LINER,0,11.00973,UV_WEAK,1,Retired/Passive,0.26616
137900,NA,1,10.71136,UV_UPTURN,4,SF,0.17761
138473,Composite,0,11.02095,UV_WEAK,4,SF,0.20393
138552,NA,0,10.19958,UV_WEAK,0,NA,0.11174
138989,NA,1,10.9953,UV_UPTURN,0,NA,0.2502
139017,Composite,0,10.68588,UV_WEAK,1,Retired/Passive,0.17523
143221,LINER,0,10.7235,UV_WEAK,1,Retired/Passive,0.14454
143342,NA,0,10.51748,UV_WEAK,4,SF,0.15116
143468,NA,0,10.65057,UV_WEAK,4,SF,0.18871
143819,NA,0,10.97641,UV_WEAK,1,Retired/Passive,0.26842
143845,NA,1,11.21097,UV_UPTURN,1,Retired/Passive,0.25954
143894,Composite,0,10.58511,UV_WEAK,1,Retired/Passive,0.13527
143899,NA,0,11.16632,UV_WEAK,3,sAGN,0.29723
143950,NA,0,10.973,UV_WEAK,0,NA,0.16992
144624,LINER,1,10.97631,UV_UPTURN,1,Retired/Passive,0.24609
144798,Composite,0,10.68244,UV_WEAK,1,Retired/Passive,0.1741
144857,SF,1,11.21911,UV_UPTURN,4,SF,0.28435
144975,SF,1,10.95332,UV_UPTURN,4,SF,0.21277
145111,Composite,1,11.67857,UV_UPTURN,1,Retired/Passive,0.24192
145244,LINER,0,10.48348,UV_WEAK,1,Retired/Passive,0.12357
145646,Composite,0,10.93261,UV_WEAK,1,Retired/Passive,0.18678
171308,NA,0,11.22133,UV_WEAK,0,NA,0.16486
177971,NA,0,10.73107,UV_WEAK,2,wAGN,0.13387
184043,NA,0,9.94515,UV_WEAK,1,Retired/Passive,0.07854
184126,NA,0,10.67374,UV_WEAK,0,NA,0.14505
184361,SF,0,10.82294,UV_WEAK,4,SF,0.17023
185015,NA,0,11.03912,UV_WEAK,0,NA,0.2265
185600,NA,0,10.79962,UV_WEAK,1,Retired/Passive,0.23058
185837,NA,0,10.56998,UV_WEAK,0,NA,0.17701
185886,Composite,1,11.15587,UV_UPTURN,2,wAGN,0.27674
185960,NA,0,10.37356,UV_WEAK,0,NA,0.09983
186537,NA,0,10.91806,UV_WEAK,1,Retired/Passive,0.06794
186589,SF,1,11.22063,UV_UPTURN,4,SF,0.28857
186807,NA,0,10.91372,UV_WEAK,0,NA,0.25919
186811,NA,0,10.56609,UV_WEAK,4,SF,0.12154
186851,NA,1,11.55001,UV_UPTURN,4,SF,0.31898
196101,NA,1,10.67894,UV_UPTURN,0,NA,0.10805
196663,NA,0,11.07315,UV_WEAK,4,SF,0.24861
196845,NA,0,10.86826,UV_WEAK,1,Retired/Passive,0.19038
196998,Composite,1,10.57371,UV_UPTURN,1,Retired/Passive,0.17394
198686,SF,0,10.63277,UV_WEAK,3,sAGN,0.13946
198705,NA,1,11.22195,UV_UPTURN,1,Retired/Passive,0.18264
198743,NA,0,11.02433,UV_WEAK,2,wAGN,0.18017
202409,SF,1,10.73311,UV_UPTURN,4,SF,0.15916
202560,SF,0,11.17684,UV_WEAK,4,SF,0.26963
202565,SF,0,10.4362,UV_WEAK,1,Retired/Passive,0.14684
203150,Composite,0,10.72269,UV_WEAK,1,Retired/Passive,0.13291
203306,NA,1,11.03912,UV_UPTURN,4,SF,0.19366
203412,LINER,1,11.12803,UV_UPTURN,1,Retired/Passive,0.23837
203848,SF,1,10.98474,UV_UPTURN,1,Retired/Passive,0.2217
209881,NA,1,11.19138,UV_UPTURN,0,NA,0.25633
210077,NA,0,10.8077,UV_WEAK,2,wAGN,0.201
210467,NA,0,10.41981,UV_WEAK,0,NA,0.09239
214331,NA,0,10.62765,UV_WEAK,0,NA,0.07854
214367,NA,1,10.69076,UV_UPTURN,4,SF,0.14451
214831,NA,1,11.30404,UV_UPTURN,4,SF,0.29699
216892,NA,1,10.68799,UV_UPTURN,0,NA,0.17037
636394,NA,0,10.87598,UV_WEAK,1,Retired/Passive,0.1332
636401,LINER,0,10.44405,UV_WEAK,1,Retired/Passive,0.11903
636244,NA,0,11.29802,UV_WEAK,0,NA,0.1668
641934,NA,0,10.9272,UV_WEAK,4,SF,0.15489
641935,NA,0,11.43839,UV_WEAK,0,NA,0.15415
641937,NA,1,10.53428,UV_UPTURN,2,wAGN,0.15211
647273,NA,0,10.51183,UV_WEAK,4,SF,0.15759
219885,LINER,0,10.84734,UV_WEAK,2,wAGN,0.17571
219925,SF,0,10.5167,UV_WEAK,4,SF,0.12572
220174,SF,0,10.77665,UV_WEAK,1,Retired/Passive,0.19939
220778,SF,1,10.73909,UV_UPTURN,4,SF,0.18617
221248,NA,0,10.90894,UV_WEAK,0,NA,0.30099
227884,NA,0,10.76565,UV_WEAK,4,SF,0.16458
228436,NA,0,10.74029,UV_WEAK,0,NA,0.40553
228929,NA,0,11.13246,UV_WEAK,1,Retired/Passive,0.20178
229130,NA,0,10.75034,UV_WEAK,4,SF,0.15036
229173,SF,0,10.94576,UV_WEAK,1,Retired/Passive,0.19254
229442,NA,0,10.54685,UV_WEAK,0,NA,0.19765
230307,SF,1,9.968827,UV_UPTURN,4,SF,0.10566
230578,NA,0,10.52461,UV_WEAK,4,SF,0.16248
231032,SF,1,10.35811,UV_UPTURN,4,SF,0.12675
237743,NA,1,10.78506,UV_UPTURN,4,SF,0.17742
237736,Seyfert,0,10.61711,UV_WEAK,3,sAGN,0.17899
238173,NA,0,10.62193,UV_WEAK,4,SF,0.1398
238225,SF,1,11.13896,UV_UPTURN,4,SF,0.18655
238341,NA,1,11.15629,UV_UPTURN,4,SF,0.25263
238680,NA,1,11.0934,UV_UPTURN,4,SF,0.25299
238896,Composite,1,10.58255,UV_UPTURN,1,Retired/Passive,0.12752
238934,SF,1,10.1056,UV_UPTURN,2,wAGN,0.16899
239220,SF,0,10.17918,UV_WEAK,3,sAGN,0.07818
239670,NA,0,10.75306,UV_WEAK,1,Retired/Passive,0.13769
240001,NA,0,11.19103,UV_WEAK,1,Retired/Passive,0.29361
240134,NA,0,10.70951,UV_WEAK,3,sAGN,0.18052
240455,NA,1,10.45432,UV_UPTURN,1,Retired/Passive,0.12006
536599,Composite,0,10.66393,UV_WEAK,3,sAGN,0.16528
547811,LINER,0,10.65547,UV_WEAK,1,Retired/Passive,0.18281
547814,NA,0,10.94654,UV_WEAK,0,NA,0.15667
574429,NA,1,11.05122,UV_UPTURN,0,NA,0.2294
575512,NA,0,11.56326,UV_WEAK,0,NA,0.3483
584520,NA,0,11.1912,UV_WEAK,0,NA,0.20231
584929,SF,0,10.94666,UV_WEAK,2,wAGN,0.20539
585358,Composite,0,10.86018,UV_WEAK,1,Retired/Passive,0.18752
