"x" "mean" "lwr1" "lwr2" "lwr3" "upr1" "upr2" "upr3"
0.001 3.61542559315577e-19 3.52820241342601e-19 3.38979487267131e-19 3.32335633588215e-19 3.68732622679325e-19 3.83864900671759e-19 3.90630444273574e-19
0.00109749876549306 3.0469861992289e-18 2.97354434558779e-18 2.8569071901918e-18 2.80090613062552e-18 3.1076216849994e-18 3.23510448982327e-18 3.29212310359055e-18
0.00120450354025878 2.40169498473461e-17 2.34386345019881e-17 2.25193537950436e-17 2.20778715680003e-17 2.44952227334841e-17 2.54996634355581e-17 2.59490985637253e-17
0.00132194114846603 1.77415092789182e-16 1.73147506342639e-16 1.66357310167782e-16 1.6309548730668e-16 1.80950746054256e-16 1.88367445585465e-16 1.9168748173274e-16
0.00145082877849594 1.23070553010544e-15 1.20112518333938e-15 1.15402731120223e-15 1.1313965040406e-15 1.25524103047298e-15 1.3066657530199e-15 1.32969639485216e-15
0.00159228279334109 8.03242063884852e-15 7.83942567230959e-15 7.53207040512764e-15 7.38434049997601e-15 8.19251907697641e-15 8.52798086337003e-15 8.67829245878605e-15
0.00174752840000768 4.94166013529803e-14 4.82297060304371e-14 4.63390581478304e-14 4.54300321377568e-14 5.04013080796251e-14 5.24639956649705e-14 5.33887205027754e-14
0.00191791026167249 2.87090793024222e-13 2.80198121008425e-13 2.69215731381074e-13 2.63933590852915e-13 2.9281005183413e-13 3.0478649754305e-13 3.10158694424155e-13
0.00210490414451202 1.57778416347063e-12 1.53991962232531e-12 1.47957188911454e-12 1.45053622497554e-12 1.60920712816058e-12 1.67498615019502e-12 1.70450997266841e-12
0.00231012970008316 8.21668659050086e-12 8.01958704464226e-12 7.70536142858274e-12 7.55411640256358e-12 8.38028064538065e-12 8.72261424131842e-12 8.87636359830854e-12
0.00253536449397011 4.06146886008304e-11 3.9640906314477e-11 3.80879655098919e-11 3.73401835799611e-11 4.14230709053425e-11 4.3114015902296e-11 4.38739754568743e-11
0.00278255940220712 1.90854142932434e-10 1.86280574950782e-10 1.78984397751504e-10 1.7546953217883e-10 1.94651568288318e-10 2.02591571958842e-10 2.06162645431978e-10
0.00305385550883342 8.53937095431035e-10 8.33484990210271e-10 8.00846021472774e-10 7.85115005953935e-10 8.70921802318901e-10 9.06419115581143e-10 9.22396728098529e-10
0.00335160265093884 3.64342136678646e-09 3.55621210023885e-09 3.41698264847673e-09 3.34984390877661e-09 3.71586096527081e-09 3.86718421068175e-09 3.93535260468174e-09
0.00367837977182864 1.48451929201621e-08 1.4490084250828e-08 1.39229149329753e-08 1.36492668289167e-08 1.5140229748523e-08 1.57562332512385e-08 1.60339780092589e-08
0.00403701725859656 5.78455307784819e-08 5.64627701550174e-08 5.425326279106e-08 5.31865930798073e-08 5.89946697758587e-08 6.13926237741271e-08 6.24748417612494e-08
0.00443062145758388 2.15852657765738e-07 2.10696641888286e-07 2.02453838447472e-07 1.98472007997803e-07 2.20138739222377e-07 2.29077406492173e-07 2.33115585975474e-07
0.00486260158006536 7.72372532438469e-07 7.53940686963258e-07 7.24450806046235e-07 7.10197025893525e-07 7.87701653362115e-07 8.1965048822455e-07 8.34099444595177e-07
0.00533669923120631 2.65362132994097e-06 2.59036953698544e-06 2.48906056893356e-06 2.44006759176562e-06 2.70615849369901e-06 2.81589401715944e-06 2.86553358304964e-06
0.00585702081805667 8.76471698507211e-06 8.55606364988134e-06 8.22147798363839e-06 8.0595807493084e-06 8.93757629005383e-06 9.30013109060483e-06 9.46407826755786e-06
0.00642807311728432 2.78645191945232e-05 2.72020725908434e-05 2.61384706688037e-05 2.56235075736305e-05 2.84118019369009e-05 2.95647881585118e-05 3.00859732224084e-05
0.00705480231071864 8.53674130445569e-05 8.33408597402964e-05 8.00826778739467e-05 7.85041306431102e-05 8.70394752953105e-05 9.05702334209808e-05 9.21668619017087e-05
0.00774263682681127 0.000252322881358444 0.000246342349868923 0.000236713090653449 0.000232044534556645 0.000257259427931834 0.000267681354106215 0.000272400205439872
0.00849753435908645 0.000720323328614719 0.000703279230994247 0.00067579307239147 0.000662456771511692 0.000734398998624843 0.000764108291910094 0.000777578401551669
0.00932603346883221 0.00198825868250935 0.00194129913063355 0.0018654401585047 0.00182860298097283 0.00202706088692505 0.00210893863160696 0.0021461157777165
0.0102353102189903 0.0053118699599084 0.00518666009647743 0.00498401968138167 0.00488552961373875 0.00541549714952684 0.0056337766106088 0.00573308935136264
0.0112332403297803 0.0137438060594476 0.0134249572994827 0.0128662667216206 0.0125773852628084 0.0140164152885021 0.0145675892250278 0.0147909585466425
0.0123284673944207 0.0345034161723172 0.033703086379246 0.0323025006373396 0.0315761904238159 0.0351828978866882 0.0365686861505307 0.0371284293115267
0.0135304777457981 0.084087991655899 0.0821343362159999 0.0787296830407793 0.0769567687082709 0.0857311352947896 0.089113871210546 0.0904753347821784
0.0148496826225447 0.199125831262575 0.194491296528829 0.186450993025819 0.182245421557837 0.202984283279322 0.211008650355265 0.214225817606954
0.0162975083462065 0.458602780924336 0.447908714053037 0.429446045833823 0.4197424741608 0.467408304607281 0.48592325374667 0.493315526565434
0.0178864952905744 1.02812100312006 1.00409687416947 0.962838375017015 0.941041468261882 1.04766672839681 1.0892568790677 1.1057876718513
0.0196304065004027 2.24555158170479 2.19296190958393 2.1031585504782 2.05545043408214 2.28778322570933 2.37881480040247 2.41482155040778
0.0215443469003188 4.78229311399046 4.67002079615465 4.47948160303089 4.37764776903331 4.87117915221475 5.06548921387597 5.14194331426034
